ref_area,effective_date,old_level,new_level,change_bps,direction,instrument,excluded,exclusion_reason,audit_note
US,1999-06-30,4.75,5.0,25,hike,FFTR_MID,True,outside project window (before 2000-01-01),
US,1999-08-24,5.0,5.25,25,hike,FFTR_MID,True,outside project window (before 2000-01-01),
US,1999-11-16,5.25,5.5,25,hike,FFTR_MID,True,outside project window (before 2000-01-01),
US,2000-02-02,5.5,5.75,25,hike,FFTR_MID,False,,
US,2000-03-21,5.75,6.0,25,hike,FFTR_MID,False,,
US,2000-05-16,6.0,6.5,50,hike,FFTR_MID,False,,
US,2001-01-03,6.5,6.0,-50,cut,FFTR_MID,False,,
US,2001-01-31,6.0,5.5,-50,cut,FFTR_MID,False,,
US,2001-03-20,5.5,5.0,-50,cut,FFTR_MID,False,,
US,2001-04-18,5.0,4.5,-50,cut,FFTR_MID,False,,
US,2001-05-15,4.5,4.0,-50,cut,FFTR_MID,False,,
US,2001-06-27,4.0,3.75,-25,cut,FFTR_MID,False,,
US,2001-08-21,3.75,3.5,-25,cut,FFTR_MID,False,,
US,2001-09-17,3.5,3.0,-50,cut,FFTR_MID,False,,
US,2001-10-02,3.0,2.5,-50,cut,FFTR_MID,False,,
US,2001-11-06,2.5,2.0,-50,cut,FFTR_MID,False,,
US,2001-12-11,2.0,1.75,-25,cut,FFTR_MID,False,,
US,2002-11-06,1.75,1.25,-50,cut,FFTR_MID,False,,
US,2003-06-25,1.25,1.0,-25,cut,FFTR_MID,False,,
US,2004-06-30,1.0,1.25,25,hike,FFTR_MID,False,,
US,2004-08-10,1.25,1.5,25,hike,FFTR_MID,False,,
US,2004-09-21,1.5,1.75,25,hike,FFTR_MID,False,,
US,2004-11-10,1.75,2.0,25,hike,FFTR_MID,False,,
US,2004-12-14,2.0,2.25,25,hike,FFTR_MID,False,,
US,2005-02-02,2.25,2.5,25,hike,FFTR_MID,False,,
US,2005-03-22,2.5,2.75,25,hike,FFTR_MID,False,,
US,2005-05-03,2.75,3.0,25,hike,FFTR_MID,False,,
US,2005-06-30,3.0,3.25,25,hike,FFTR_MID,False,,
US,2005-08-09,3.25,3.5,25,hike,FFTR_MID,False,,
US,2005-09-20,3.5,3.75,25,hike,FFTR_MID,False,,
US,2005-11-01,3.75,4.0,25,hike,FFTR_MID,False,,
US,2005-12-13,4.0,4.25,25,hike,FFTR_MID,False,,
US,2006-01-31,4.25,4.5,25,hike,FFTR_MID,False,,
US,2006-03-28,4.5,4.75,25,hike,FFTR_MID,False,,
US,2006-05-10,4.75,5.0,25,hike,FFTR_MID,False,,
US,2006-06-29,5.0,5.25,25,hike,FFTR_MID,False,,
US,2007-09-18,5.25,4.75,-50,cut,FFTR_MID,False,,
US,2007-10-31,4.75,4.5,-25,cut,FFTR_MID,False,,
US,2007-12-11,4.5,4.25,-25,cut,FFTR_MID,False,,
US,2008-01-22,4.25,3.5,-75,cut,FFTR_MID,False,,
US,2008-01-30,3.5,3.0,-50,cut,FFTR_MID,False,,
US,2008-03-18,3.0,2.25,-75,cut,FFTR_MID,False,,
US,2008-04-30,2.25,2.0,-25,cut,FFTR_MID,False,,
